DISTRIBUTOR,DIST_SKU CODE,DIST_SKU NAME,iNova_GL SKU Code,iNova_ID SKU NAME,iNova_GL CATEGORY,iNova_ID SUB CATEGORY,iNova_Finance_Code,iNova_SKU_Status,Short Desc
PPG,IT-02799,BETADINE BODY WASH HONEY 500ML,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,IT-02797,BETADINE BODY WASH HONEY POC 400ML,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,IT-02800,BETADINE BODY WASH POMEGRANATE 500ML,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,IT-02798,BETADINE BODY WASH POMEGRANATE POC400ML,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MBS,IT-02786,BFW Gentle Liquid,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MBS,IT-02792,Betadine Hand Wash 200ml Refill,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MBS,IT-02794,Betadine Body Wash Pomegranate 90ml,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MBS,IT-02801,Betadine Sirih Radiance Blossom,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MBS,IT-02802,Betadine Sirih Firming Floral,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,L10004,BETADINE PLASTER WATERPROOF TRANSPARENT,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
DMA,LBGAA,Betadine OK 240ml,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1005423,BETAPLAST F 2mm 10EA/box 5x20,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1005425,BETAPLAST N 10CMx20CM,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1005421,BETAPLAST F 2mm 10EA/box 5x10,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1007059,BETAPLAST PRO-N 10CMX5CM 2MM 10EA (ID),104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1005426,BETAPLAST N 20CMx20CM,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1005424,BETAPLAST H 0.3mm 10EA/box 10x10,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1007060,BETAPLAST PRO-N 10CMX10CM 5MM 10EA (ID),104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1007062,BETAPLAST PRO-N 20CMX20CM 5MM 10EA (ID),104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,1007061,BETAPLAST PRO-N 20CMX10CM 5MM 10EA (ID),104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
PPG,K80010,BETAPLAST PRO-N 20CMX10CM 5MM 10EA (ID),104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MEDQUEST,L10001,BETADINE COLD DEFENCE NASAL SPRAY,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MEDQUEST,1007108,BETADINE PLASTER ELASTIC FABRIC,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
MEDQUEST,1007109,BETADINE PLASTER WATERPROOF TRANSPARENT,104806,BETADINE PLASTER,WOUND,PLASTER,,DISCONTINUE,PLASTER
DMA,GBHYA,BETADINE HYDRA GEL 20G,105459,BETADINE HYDRA GEL,WOUND,HYDRA GEL,GBHYA,DISCONTINUE,HYDRA GEL
DMA,LBGAA,BETADINE GARGLE 1% 240 ML,105484,BETADINE OBAT KUMUR 240ML,URT,GARGLE,LBGAA,DISCONTINUE,BOK 240
DMA,LBSCA,(*)BET.SABUN CAIR 60 ML (,105476,BETADINE SKIN CLEANSER 60ML,SKIN,SKIN CLEANSER,IT-00073,NEW PRODUCT,BSC 60
DMA,LBSCC,BET. SKIN CLEANSER 1L,105445,BETADINE SKIN CLEANSER 1L,SKIN,SKIN CLEANSER,IT-00075,DISCONTINUE,BSC 1L
DMA,LBSCD,BET. SKIN CLEANSER 1 GLN,105480,BETADINE SKIN CLEANSER 1GAL,SKIN,SKIN CLEANSER,IT-00077,DISCONTINUE,BSC 1 GALON
DMA,LBSCE,(*)BET.SABUN CAIR 60 ML(TM),105476,BETADINE SKIN CLEANSER 60ML,SKIN,SKIN CLEANSER,IT-00073,NEW PRODUCT,BSC 60
DMA,LBSMA,(*)BET SABUN CAIR 60 ML N,105476,BETADINE SKIN CLEANSER 60ML,SKIN,SKIN CLEANSER,IT-00073,NEW PRODUCT,BSC 60
DMA,LBVDB,(*)BET VAG DOUCHE (TA) 10,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
DMA,LBVDC,(*)BET VAG DOUCHE (TA) 22,105446,BETADINE VAGINAL DOUCHE 225ML,FEMININE,PVPI DOUCHE,IT-00083,DISCONTINUE,VD 225
DMA,LBVMB,(*)BET VAG DOUCHE(TA)100M,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
DMA,LBVMC,(*)BET VAG DOUCHE(TA)225M,105446,BETADINE VAGINAL DOUCHE 225ML,FEMININE,PVPI DOUCHE,IT-00083,DISCONTINUE,VD 225
DMA,LBVMN,(*)BETVAG DOUCHE(TA)100ML,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
DMA,LBVMO,(*)BETVAG DOUCHE(TA)225ML,105446,BETADINE VAGINAL DOUCHE 225ML,FEMININE,PVPI DOUCHE,IT-00083,DISCONTINUE,VD 225
DMA,LBVMQ,(*)BETVAG DOUCHE(TA)100ML,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
DMA,LBVMR,(*)BETVAG DOUCHE(TA)225ML,105446,BETADINE VAGINAL DOUCHE 225ML,FEMININE,PVPI DOUCHE,IT-00083,DISCONTINUE,VD 225
DMA,LSPRA,(*)BET. DRY POWDER SPRAY,105409,BETADINE DRY POWDER SPRAY 55GR,WOUND,POWDER SPRAY,IT-02784,DISCONTINUE,POWDER SPRAY 55
DMA,SBTMA,(*)BETADINE STICK 10SCH2',NA,BETADINE STICK ANTISEPTIC 10 PACK,WOUND,STICK ANTISEPTIC,UPL10S,DISCONTINUE,STICK
DMA,SBTSA,(*)BETADINE 10 STICK,NA,BETADINE STICK ANTISEPTIC 10 PACK,WOUND,STICK ANTISEPTIC,UPL10S,DISCONTINUE,STICK
