DISTRIBUTOR,DIST_SKU CODE,DIST_SKU NAME,iNova_GL SKU Code,iNova_ID SKU NAME,iNova_GL CATEGORY,iNova_ID SUB CATEGORY,iNova_Finance_Code,iNova_SKU_Status,Short Desc
DMA,LBTME,(*)PAKET BETSOL5ML+PLSTER,105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
DMA,LBVDA,(*)BET VAG DOUCHE (PA) 10,105446,BETADINE VAGINAL DOUCHE 100ML (PA),FEMININE,PVPI DOUCHE,IT-00081,ACTIVE,VD 100
DMA,LBVMA,BET VAG DOUCHE 100ML,105446,BETADINE VAGINAL DOUCHE 100ML (PA),FEMININE,PVPI DOUCHE,IT-00081,ACTIVE,VD 100
DMA,LBVMM,(*)BETVAG DOUCHE(PA)100ML,105446,BETADINE VAGINAL DOUCHE 100ML (PA),FEMININE,PVPI DOUCHE,IT-00081,ACTIVE,VD 100
DMA,LBVMP,(*)BETVAG DOUCHE(PA)100ML,105446,BETADINE VAGINAL DOUCHE 100ML (PA),FEMININE,PVPI DOUCHE,IT-00081,ACTIVE,VD 100
DMA,OBTMA,BETADINE OINTMENT 5 G,105436,BETADINE OINTMENT 5GR,WOUND,OINTMENT,IT-00044,ACTIVE,OINT 5
DMA,OBTMB,BETADINE OINTMENT 10 G,105437,BETADINE OINTMENT 10GR,WOUND,OINTMENT,IT-00045,ACTIVE,OINT 10
DMA,OBTMC,BETADINE OINTMENT 20 G,105438,BETADINE OINTMENT 20GR,WOUND,OINTMENT,IT-00047,ACTIVE,OINT 20
DMA,OBTOA,BETADINE OINTMENT 5 GR,105436,BETADINE OINTMENT 5GR,WOUND,OINTMENT,IT-00044,ACTIVE,OINT 5
DMA,OBTOB,BETADINE OINTMENT 10 GR,105437,BETADINE OINTMENT 10GR,WOUND,OINTMENT,IT-00045,ACTIVE,OINT 10
DMA,OBTOC,BETADINE OINTMENT 20 GR,105438,BETADINE OINTMENT 20GR,WOUND,OINTMENT,IT-00047,ACTIVE,OINT 20
DMA,OBTOD,(*)BETADINE OINTMENT 250,105438,BETADINE OINTMENT 20GR,WOUND,OINTMENT,IT-00047,ACTIVE,OINT 20
DMA,TBWGA,BET.FEMINIME WIPES GP 10S,105448,BETADINE FEMININE WIPES 10'S,FEMININE,ANGELA WIPES,IT-02785,RE-PIPELINE,WIPES
PPG,420001,BETADINE OBAT KUMUR 100 ML,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
PPG,420001-MM,BETADINE OBAT KUMUR 100 ML - MT,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
PPG,420002,BETADINE OBAT KUMUR 190 ML,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
PPG,420002-MM,BETADINE OBAT KUMUR 190 ML - MT,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
PPG,420003,BETADINE SOLUTION 5 ML,105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
PPG,420004,BETADINE SOLUTION 15 ML,105440,BETADINE SOLUTION 15ML,WOUND,SOLUTIONS,IT-00062,ACTIVE,SOL 15
PPG,420005,BETADINE SOLUTION 30 ML,105441,BETADINE SOLUTION 30ML,WOUND,SOLUTIONS,IT-00063,ACTIVE,SOL 30
